
BUYING:[X] 22:37:44 08.01.24 | CONUTER:0 time_diff =>260
BUYING:[0k] 22:37:47 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 22:37:49 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 22:37:51 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 22:37:54 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 22:37:56 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[X] 22:38:12 08.01.24 | CONUTER:0 time_diff =>16
BUYING:[0k] 22:38:14 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 22:38:17 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 22:38:19 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 22:38:22 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[X] 22:38:37 08.01.24 | CONUTER:0 time_diff =>15
BUYING:[X] 22:38:44 08.01.24 | CONUTER:0 time_diff =>7
BUYING:[0k] 22:38:47 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 22:38:49 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 22:38:52 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 22:38:54 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[0k] 22:38:57 08.01.24 | CONUTER:5 time_diff =>3
BUYING:[0k] 22:38:59 08.01.24 | CONUTER:6 time_diff =>2
BUYING:[0k] 22:39:02 08.01.24 | CONUTER:7 time_diff =>3
BUYING:[0k] 22:39:07 08.01.24 | CONUTER:8 time_diff =>5
BUYING:[0k] 22:39:09 08.01.24 | CONUTER:9 time_diff =>2
BUYING:[X] 22:45:57 08.01.24 | CONUTER:0 time_diff =>408
BUYING:[0k] 22:45:59 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 22:46:02 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 22:46:04 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 22:46:07 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[X] 22:50:49 08.01.24 | CONUTER:0 time_diff =>282
BUYING:[X] 22:51:17 08.01.24 | CONUTER:0 time_diff =>28
BUYING:[0k] 22:51:20 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 22:51:25 08.01.24 | CONUTER:2 time_diff =>5
BUYING:[0k] 22:51:27 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 22:51:33 08.01.24 | CONUTER:4 time_diff =>6
BUYING:[0k] 22:51:35 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 22:51:38 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 22:51:40 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 22:51:43 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 22:51:48 08.01.24 | CONUTER:9 time_diff =>5
BUYING:[X] 22:51:56 08.01.24 | CONUTER:0 time_diff =>8
BUYING:[0k] 22:51:59 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 22:52:01 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 22:52:04 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 22:52:06 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[0k] 22:52:11 08.01.24 | CONUTER:5 time_diff =>5
